The Post,Call Me by Your Name,Logan,Dunkirk,Get Out,Lady Bird,"Three Billboards Outside Ebbing, Missouri",Jim & Andy: The Great Beyond,God's Own Country,Blade Runner 2049,,,
The Shape of Water,Call Me by Your Name,Lady Bird,"I, Tonya",Get Out,The Disaster Artist,Dunkirk,All the Money in the World,The Post,The Big Sick,,,
Colossal,Lucky,Wind River,Kedi,Truman,"I, Tonya",The Big Sick,Last Flag Flying,The Post,Lady Bird,,,
The Shape of Water,"Three Billboards Outside Ebbing, Missouri",Get Out,The Florida Project,The Post,Mudbound,Darkest Hour,Dunkirk,Wind River,"I, Tonya",,,
Lady Bird,Call Me by Your Name,The Big Sick,War for the Planet of the Apes,The Post,Get Out,Coco,Blade Runner 2049,Baby Driver,Brawl in Cell Block 99,,,
Call Me by Your Name,Lady Bird,Get Out,"I, Tonya",Baby Driver,Spider-Man: Homecoming,The Beguiled,Colossal,Mudbound,Star Wars: The Last Jedi,,,
Dunkirk,EX LIBRIS – The New York Public Library,Faces Places,The Florida Project,Get Out,Lady Bird,Okja,Phantom Thread,A Quiet Passion,Wonder Woman,,,
The Florida Project,Lady Bird,Get Out,I Am Not Your Negro,Faces Places,Phantom Thread,A Fantastic Woman,Graduation,A Quiet Passion,War for the Planet of the Apes,,,
Get Out,A Quiet Passion,Good Time,A Ghost Story,Slack Bay,Phantom Thread,Beach Rats,Faces Places,Song to Song,Sylvio,,,
Thor: Ragnarok,Baby Driver,Get Out,Dunkirk,Call Me by Your Name,Swagger of Thieves,T2 Trainspotting,The Big Sick,John Wick: Chapter 2,Blade Runner 2049,,,
Get Out,Dunkirk,Battle of the Sexes,The Big Sick,The Shape of Water,Wonder Woman,Lady Bird,"I, Tonya",Atomic Blonde,The Disaster Artist,,,
Get Out,Baby Driver,Blade Runner 2049,Moonlight,Call Me by Your Name,La La Land,Dunkirk,Wonder Woman,T2: Trainspotting,It,,,
Faces Places,Strong Island,A Quiet Passion,Good Time,Grace Jones: Bloodlight and Bam,Manifesto,Beach Rats,Caniba,Columbus,Get Out,,,
